======================================================================
BÚSQUEDA DE HIPERPARÁMETROS (proxy: MOBILENET)
Generado: 2026-09-06 10:45:24
Evaluado siempre sobre el set de VALIDACIÓN (no test).
======================================================================

 learning_rate  dropout_rate  best_val_loss  best_val_accuracy  epochs_corridas
        0.0010           0.3         0.7184             0.7921               12
        0.0010           0.5         0.7584             0.7624               12
        0.0010           0.4         0.7633             0.7723               12
        0.0005           0.4         0.7931             0.7624               12
        0.0005           0.5         0.7940             0.7327               12
        0.0005           0.3         0.8172             0.7426               12
        0.0001           0.3         1.1419             0.5941               12
        0.0001           0.4         1.1491             0.5743               12
        0.0001           0.5         1.1625             0.5743               12

Mejor combinación (menor val_loss): learning_rate=0.001, dropout_rate=0.3
